Model,Scaler,Resampler,Best_Params,Threshold,Training_Accuracy,Testing_Accuracy,Precision,Recall,F1,ROC-AUC,PR-AUC
Logistic Regression,StandardScaler,RandomOverSampler,"{'C': 10, 'solver': 'lbfgs'}",0.5,0.7369960988296489,0.698019801980198,0.06722689075630252,0.42105263157894735,0.11594202898550725,0.6183185235816815,0.07430400401920859
Balanced Bagging,StandardScaler,RandomOverSampler,"{'max_features': 0.75, 'max_samples': 1.0}",0.5,1.0,0.9455445544554455,0.0,0.0,0.0,0.5736158578263841,0.06245455586561315
Random Forest,StandardScaler,RandomOverSampler,"{'max_depth': None, 'n_estimators': 200}",0.5,1.0,0.948019801980198,0.0,0.0,0.0,0.660833902939166,0.09173120286939387
Gradient Boosting,StandardScaler,RandomOverSampler,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200}",0.5,1.0,0.9405940594059405,0.0,0.0,0.0,0.5120984278879015,0.0471960346737657
XGBoost,StandardScaler,RandomOverSampler,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200, 'scale_pos_weight': 20.677419354838708}",0.5,1.0,0.9232673267326733,0.0,0.0,0.0,0.4910457963089542,0.043788654007837886
LightGBM,StandardScaler,RandomOverSampler,"{'learning_rate': 0.1, 'n_estimators': 200, 'num_leaves': 50}",0.5,1.0,0.9455445544554455,0.0,0.0,0.0,0.5384825700615173,0.05972033639152991
CatBoost,StandardScaler,RandomOverSampler,"{'depth': 5, 'iterations': 200, 'learning_rate': 0.1}",0.5,0.9996749024707412,0.9405940594059405,0.14285714285714285,0.05263157894736842,0.07692307692307693,0.5119617224880383,0.06606502570932755
RUSBoost,StandardScaler,RandomOverSampler,Default,0.5,0.8250975292587777,0.7995049504950495,0.10256410256410256,0.42105263157894735,0.16494845360824742,0.6494873547505127,0.09162984141558361
KNN,StandardScaler,RandomOverSampler,"{'n_neighbors': 5, 'weights': 'distance'}",0.5,1.0,0.8366336633663366,0.02040816326530612,0.05263157894736842,0.029411764705882353,0.5315105946684895,0.05366389211193053
Naive Bayes,StandardScaler,RandomOverSampler,Default,0.5,0.6355656697009102,0.39603960396039606,0.05179282868525897,0.6842105263157895,0.0962962962962963,0.6047846889952153,0.06829983354509678
MLP,StandardScaler,RandomOverSampler,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (50,)}",0.5,0.8917425227568271,0.8787128712871287,0.14285714285714285,0.3157894736842105,0.19672131147540983,0.5840054682159945,0.08183291474601044
Logistic Regression,StandardScaler,SMOTE,"{'C': 10, 'solver': 'lbfgs'}",0.5,0.7431729518855656,0.693069306930693,0.05128205128205128,0.3157894736842105,0.08823529411764706,0.6079289131920711,0.07697085947382473
Balanced Bagging,StandardScaler,SMOTE,"{'max_features': 0.5, 'max_samples': 1.0}",0.5,0.9993498049414824,0.9529702970297029,0.0,0.0,0.0,0.6771701982228298,0.11919630104434084
Random Forest,StandardScaler,SMOTE,"{'max_depth': None, 'n_estimators': 100}",0.5,1.0,0.9529702970297029,0.0,0.0,0.0,0.5885850991114149,0.06989908240156265
Gradient Boosting,StandardScaler,SMOTE,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100}",0.5,0.979518855656697,0.9504950495049505,0.0,0.0,0.0,0.6190020505809979,0.0762619840103104
XGBoost,StandardScaler,SMOTE,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200, 'scale_pos_weight': 20.677419354838708}",0.5,1.0,0.9405940594059405,0.0,0.0,0.0,0.5924812030075188,0.06436672088274997
LightGBM,StandardScaler,SMOTE,"{'learning_rate': 0.1, 'n_estimators': 200, 'num_leaves': 50}",0.5,1.0,0.948019801980198,0.0,0.0,0.0,0.556390977443609,0.05729288700587403
CatBoost,StandardScaler,SMOTE,"{'depth': 3, 'iterations': 200, 'learning_rate': 0.1}",0.5,0.9817945383615084,0.9504950495049505,0.3333333333333333,0.05263157894736842,0.09090909090909091,0.5872863978127136,0.08161410114490261
RUSBoost,StandardScaler,SMOTE,Default,0.5,0.973667100130039,0.9529702970297029,0.0,0.0,0.0,0.5505809979494191,0.07146051707116863
KNN,StandardScaler,SMOTE,"{'n_neighbors': 5, 'weights': 'distance'}",0.5,1.0,0.7400990099009901,0.03260869565217391,0.15789473684210525,0.05405405405405406,0.48407382091592616,0.04253866920288158
Naive Bayes,StandardScaler,SMOTE,Default,0.5,0.6667750325097529,0.47277227722772275,0.04245283018867924,0.47368421052631576,0.07792207792207792,0.5820915926179084,0.07649626413419372
MLP,StandardScaler,SMOTE,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (50,)}",0.5,0.8706111833550065,0.849009900990099,0.1111111111111111,0.3157894736842105,0.1643835616438356,0.600956937799043,0.07257434613395367
Logistic Regression,StandardScaler,BorderlineSMOTE,"{'C': 1, 'solver': 'lbfgs'}",0.5,0.8010403120936281,0.7202970297029703,0.08035714285714286,0.47368421052631576,0.13740458015267176,0.6375939849624059,0.08841973886559513
Balanced Bagging,StandardScaler,BorderlineSMOTE,"{'max_features': 0.5, 'max_samples': 0.75}",0.5,0.9957737321196359,0.9529702970297029,0.0,0.0,0.0,0.6300068352699931,0.09287726279083083
Random Forest,StandardScaler,BorderlineSMOTE,"{'max_depth': 10, 'n_estimators': 100}",0.5,0.9931729518855656,0.9529702970297029,0.0,0.0,0.0,0.6107997265892002,0.14778703500883977
Gradient Boosting,StandardScaler,BorderlineSMOTE,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100}",0.5,0.9804941482444733,0.9504950495049505,0.0,0.0,0.0,0.6507177033492823,0.09570967422301238
XGBoost,StandardScaler,BorderlineSMOTE,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200, 'scale_pos_weight': 20.677419354838708}",0.5,1.0,0.943069306930693,0.25,0.10526315789473684,0.14814814814814814,0.538755980861244,0.07561564526495868
LightGBM,StandardScaler,BorderlineSMOTE,"{'learning_rate': 0.1, 'n_estimators': 200, 'num_leaves': 31}",0.5,1.0,0.9529702970297029,0.0,0.0,0.0,0.5242652084757348,0.07733623322787993
CatBoost,StandardScaler,BorderlineSMOTE,"{'depth': 3, 'iterations': 200, 'learning_rate': 0.1}",0.5,0.9827698309492848,0.948019801980198,0.0,0.0,0.0,0.5834586466165413,0.08196270135787362
RUSBoost,StandardScaler,BorderlineSMOTE,Default,0.5,0.9739921976592978,0.948019801980198,0.25,0.05263157894736842,0.08695652173913043,0.5460697197539303,0.08631740501947427
KNN,StandardScaler,BorderlineSMOTE,"{'n_neighbors': 5, 'weights': 'distance'}",0.5,1.0,0.8217821782178217,0.03508771929824561,0.10526315789473684,0.05263157894736842,0.5285030758714969,0.050282051932968815
Naive Bayes,StandardScaler,BorderlineSMOTE,Default,0.5,0.657997399219766,0.3688118811881188,0.05970149253731343,0.8421052631578947,0.11149825783972125,0.5998632946001367,0.07772432871619886
MLP,StandardScaler,BorderlineSMOTE,"{'activation': 'tanh', 'alpha': 0.001, 'hidden_layer_sizes': (50,)}",0.5,0.9135240572171651,0.8044554455445545,0.10526315789473684,0.42105263157894735,0.16842105263157894,0.6307587149692413,0.10214280704168852
Logistic Regression,StandardScaler,ADASYN,"{'C': 10, 'solver': 'liblinear'}",0.5,0.7228331177231565,0.6831683168316832,0.056910569105691054,0.3684210526315789,0.09859154929577464,0.6159945317840054,0.07580381785325521
Balanced Bagging,StandardScaler,ADASYN,"{'max_features': 0.5, 'max_samples': 0.5}",0.5,0.9877102199223803,0.9529702970297029,0.0,0.0,0.0,0.5871496924128503,0.07853909556574099
Random Forest,StandardScaler,ADASYN,"{'max_depth': None, 'n_estimators': 200}",0.5,1.0,0.9504950495049505,0.0,0.0,0.0,0.6209842788790156,0.07691140361892004
Gradient Boosting,StandardScaler,ADASYN,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100}",0.5,0.9793014230271668,0.948019801980198,0.0,0.0,0.0,0.6228298017771702,0.09437568434193434
XGBoost,StandardScaler,ADASYN,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200, 'scale_pos_weight': 20.677419354838708}",0.5,1.0,0.9356435643564357,0.0,0.0,0.0,0.6467532467532467,0.07618780025875503
LightGBM,StandardScaler,ADASYN,"{'learning_rate': 0.1, 'n_estimators': 200, 'num_leaves': 50}",0.5,1.0,0.9529702970297029,0.0,0.0,0.0,0.5818181818181818,0.07135090798633034
CatBoost,StandardScaler,ADASYN,"{'depth': 5, 'iterations': 200, 'learning_rate': 0.1}",0.5,0.9945019404915912,0.9529702970297029,0.0,0.0,0.0,0.5841421736158577,0.08195188973387046
RUSBoost,StandardScaler,ADASYN,Default,0.5,0.9747736093143596,0.9529702970297029,0.0,0.0,0.0,0.5416267942583732,0.07987709818903135
KNN,StandardScaler,ADASYN,"{'n_neighbors': 5, 'weights': 'distance'}",0.5,1.0,0.7376237623762376,0.042105263157894736,0.21052631578947367,0.07017543859649122,0.49241285030758714,0.07122820473484247
Naive Bayes,StandardScaler,ADASYN,Default,0.5,0.6636481241914618,0.48267326732673266,0.056074766355140186,0.631578947368421,0.10300429184549356,0.5993164730006835,0.08115971443944323
MLP,StandardScaler,ADASYN,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (50,)}",0.5,0.8657826649417852,0.8168316831683168,0.11267605633802817,0.42105263157894735,0.17777777777777778,0.5801777170198223,0.07871235287347474
Logistic Regression,MinMaxScaler,RandomOverSampler,"{'C': 10, 'solver': 'lbfgs'}",0.5,0.7369960988296489,0.698019801980198,0.06722689075630252,0.42105263157894735,0.11594202898550725,0.6183185235816815,0.07430400401920859
Balanced Bagging,MinMaxScaler,RandomOverSampler,"{'max_features': 0.75, 'max_samples': 1.0}",0.5,1.0,0.9455445544554455,0.0,0.0,0.0,0.5736158578263841,0.06245455586561315
Random Forest,MinMaxScaler,RandomOverSampler,"{'max_depth': None, 'n_estimators': 200}",0.5,1.0,0.948019801980198,0.0,0.0,0.0,0.660833902939166,0.09173120286939387
Gradient Boosting,MinMaxScaler,RandomOverSampler,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200}",0.5,1.0,0.9405940594059405,0.0,0.0,0.0,0.5120984278879015,0.0471960346737657
XGBoost,MinMaxScaler,RandomOverSampler,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200, 'scale_pos_weight': 20.677419354838708}",0.5,1.0,0.9232673267326733,0.0,0.0,0.0,0.4910457963089542,0.043788654007837886
LightGBM,MinMaxScaler,RandomOverSampler,"{'learning_rate': 0.1, 'n_estimators': 200, 'num_leaves': 50}",0.5,1.0,0.9455445544554455,0.0,0.0,0.0,0.5384825700615173,0.05972033639152991
CatBoost,MinMaxScaler,RandomOverSampler,"{'depth': 5, 'iterations': 200, 'learning_rate': 0.1}",0.5,0.9996749024707412,0.9405940594059405,0.14285714285714285,0.05263157894736842,0.07692307692307693,0.5119617224880383,0.06606502570932755
RUSBoost,MinMaxScaler,RandomOverSampler,Default,0.5,0.8250975292587777,0.7995049504950495,0.10256410256410256,0.42105263157894735,0.16494845360824742,0.6494873547505127,0.09162984141558361
KNN,MinMaxScaler,RandomOverSampler,"{'n_neighbors': 5, 'weights': 'distance'}",0.5,1.0,0.8366336633663366,0.02040816326530612,0.05263157894736842,0.029411764705882353,0.5315105946684895,0.05366389211193053
Naive Bayes,MinMaxScaler,RandomOverSampler,Default,0.5,0.6355656697009102,0.39603960396039606,0.05179282868525897,0.6842105263157895,0.0962962962962963,0.6047846889952153,0.06829983354509678
MLP,MinMaxScaler,RandomOverSampler,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (50,)}",0.5,0.8917425227568271,0.8787128712871287,0.14285714285714285,0.3157894736842105,0.19672131147540983,0.5840054682159945,0.08183291474601044
Logistic Regression,MinMaxScaler,SMOTE,"{'C': 10, 'solver': 'lbfgs'}",0.5,0.7431729518855656,0.693069306930693,0.05128205128205128,0.3157894736842105,0.08823529411764706,0.6079289131920711,0.07697085947382473
Balanced Bagging,MinMaxScaler,SMOTE,"{'max_features': 0.5, 'max_samples': 1.0}",0.5,0.9993498049414824,0.9529702970297029,0.0,0.0,0.0,0.6771701982228298,0.11919630104434084
Random Forest,MinMaxScaler,SMOTE,"{'max_depth': None, 'n_estimators': 100}",0.5,1.0,0.9529702970297029,0.0,0.0,0.0,0.5885850991114149,0.06989908240156265
Gradient Boosting,MinMaxScaler,SMOTE,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100}",0.5,0.979518855656697,0.9504950495049505,0.0,0.0,0.0,0.6190020505809979,0.0762619840103104
XGBoost,MinMaxScaler,SMOTE,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200, 'scale_pos_weight': 20.677419354838708}",0.5,1.0,0.9405940594059405,0.0,0.0,0.0,0.5924812030075188,0.06436672088274997
LightGBM,MinMaxScaler,SMOTE,"{'learning_rate': 0.1, 'n_estimators': 200, 'num_leaves': 50}",0.5,1.0,0.948019801980198,0.0,0.0,0.0,0.556390977443609,0.05729288700587403
CatBoost,MinMaxScaler,SMOTE,"{'depth': 3, 'iterations': 200, 'learning_rate': 0.1}",0.5,0.9817945383615084,0.9504950495049505,0.3333333333333333,0.05263157894736842,0.09090909090909091,0.5872863978127136,0.08161410114490261
RUSBoost,MinMaxScaler,SMOTE,Default,0.5,0.973667100130039,0.9529702970297029,0.0,0.0,0.0,0.5505809979494191,0.07146051707116863
KNN,MinMaxScaler,SMOTE,"{'n_neighbors': 5, 'weights': 'distance'}",0.5,1.0,0.7400990099009901,0.03260869565217391,0.15789473684210525,0.05405405405405406,0.48407382091592616,0.04253866920288158
Naive Bayes,MinMaxScaler,SMOTE,Default,0.5,0.6667750325097529,0.47277227722772275,0.04245283018867924,0.47368421052631576,0.07792207792207792,0.5820915926179084,0.07649626413419372
MLP,MinMaxScaler,SMOTE,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (50,)}",0.5,0.8706111833550065,0.849009900990099,0.1111111111111111,0.3157894736842105,0.1643835616438356,0.600956937799043,0.07257434613395367
Logistic Regression,MinMaxScaler,BorderlineSMOTE,"{'C': 1, 'solver': 'lbfgs'}",0.5,0.8010403120936281,0.7202970297029703,0.08035714285714286,0.47368421052631576,0.13740458015267176,0.6375939849624059,0.08841973886559513
Balanced Bagging,MinMaxScaler,BorderlineSMOTE,"{'max_features': 0.5, 'max_samples': 0.75}",0.5,0.9957737321196359,0.9529702970297029,0.0,0.0,0.0,0.6300068352699931,0.09287726279083083
Random Forest,MinMaxScaler,BorderlineSMOTE,"{'max_depth': 10, 'n_estimators': 100}",0.5,0.9931729518855656,0.9529702970297029,0.0,0.0,0.0,0.6107997265892002,0.14778703500883977
Gradient Boosting,MinMaxScaler,BorderlineSMOTE,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100}",0.5,0.9804941482444733,0.9504950495049505,0.0,0.0,0.0,0.6507177033492823,0.09570967422301238
XGBoost,MinMaxScaler,BorderlineSMOTE,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200, 'scale_pos_weight': 20.677419354838708}",0.5,1.0,0.943069306930693,0.25,0.10526315789473684,0.14814814814814814,0.538755980861244,0.07561564526495868
LightGBM,MinMaxScaler,BorderlineSMOTE,"{'learning_rate': 0.1, 'n_estimators': 200, 'num_leaves': 31}",0.5,1.0,0.9529702970297029,0.0,0.0,0.0,0.5242652084757348,0.07733623322787993
CatBoost,MinMaxScaler,BorderlineSMOTE,"{'depth': 3, 'iterations': 200, 'learning_rate': 0.1}",0.5,0.9827698309492848,0.948019801980198,0.0,0.0,0.0,0.5834586466165413,0.08196270135787362
RUSBoost,MinMaxScaler,BorderlineSMOTE,Default,0.5,0.9739921976592978,0.948019801980198,0.25,0.05263157894736842,0.08695652173913043,0.5460697197539303,0.08631740501947427
KNN,MinMaxScaler,BorderlineSMOTE,"{'n_neighbors': 5, 'weights': 'distance'}",0.5,1.0,0.8217821782178217,0.03508771929824561,0.10526315789473684,0.05263157894736842,0.5285030758714969,0.050282051932968815
Naive Bayes,MinMaxScaler,BorderlineSMOTE,Default,0.5,0.657997399219766,0.3688118811881188,0.05970149253731343,0.8421052631578947,0.11149825783972125,0.5998632946001367,0.07772432871619886
MLP,MinMaxScaler,BorderlineSMOTE,"{'activation': 'tanh', 'alpha': 0.001, 'hidden_layer_sizes': (50,)}",0.5,0.9135240572171651,0.8044554455445545,0.10526315789473684,0.42105263157894735,0.16842105263157894,0.6307587149692413,0.10214280704168852
Logistic Regression,MinMaxScaler,ADASYN,"{'C': 10, 'solver': 'liblinear'}",0.5,0.7228331177231565,0.6831683168316832,0.056910569105691054,0.3684210526315789,0.09859154929577464,0.6159945317840054,0.07580381785325521
Balanced Bagging,MinMaxScaler,ADASYN,"{'max_features': 0.5, 'max_samples': 0.5}",0.5,0.9877102199223803,0.9529702970297029,0.0,0.0,0.0,0.5871496924128503,0.07853909556574099
Random Forest,MinMaxScaler,ADASYN,"{'max_depth': None, 'n_estimators': 200}",0.5,1.0,0.9504950495049505,0.0,0.0,0.0,0.6209842788790156,0.07691140361892004
Gradient Boosting,MinMaxScaler,ADASYN,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100}",0.5,0.9793014230271668,0.948019801980198,0.0,0.0,0.0,0.6228298017771702,0.09437568434193434
XGBoost,MinMaxScaler,ADASYN,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200, 'scale_pos_weight': 20.677419354838708}",0.5,1.0,0.9356435643564357,0.0,0.0,0.0,0.6467532467532467,0.07618780025875503
LightGBM,MinMaxScaler,ADASYN,"{'learning_rate': 0.1, 'n_estimators': 200, 'num_leaves': 50}",0.5,1.0,0.9529702970297029,0.0,0.0,0.0,0.5818181818181818,0.07135090798633034
CatBoost,MinMaxScaler,ADASYN,"{'depth': 5, 'iterations': 200, 'learning_rate': 0.1}",0.5,0.9945019404915912,0.9529702970297029,0.0,0.0,0.0,0.5841421736158577,0.08195188973387046
RUSBoost,MinMaxScaler,ADASYN,Default,0.5,0.9747736093143596,0.9529702970297029,0.0,0.0,0.0,0.5416267942583732,0.07987709818903135
KNN,MinMaxScaler,ADASYN,"{'n_neighbors': 5, 'weights': 'distance'}",0.5,1.0,0.7376237623762376,0.042105263157894736,0.21052631578947367,0.07017543859649122,0.49241285030758714,0.07122820473484247
Naive Bayes,MinMaxScaler,ADASYN,Default,0.5,0.6636481241914618,0.48267326732673266,0.056074766355140186,0.631578947368421,0.10300429184549356,0.5993164730006835,0.08115971443944323
